HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType
50801," ",10 22 19.80,+41 29 58.0,3.06,2,H,155.58251355,41.4994335," ",13.11,-80.47,34.1,0.56,0.49,0.75,0.62,0.48,-0.24,0.19,-0.25,0.09,0.07,-0.28,0.0,0.17,0.02,-0.26,4,2.85,5.126,0.006,3.236,0.004," ",1.603,0.006,T,1.77,0.03,O," ",3.1544,0.0026,0.019,82," ",3.12,3.19,,U,2," ","          "," ",,1," "," ",S,"  ",,,,,,S," ",Y,89758,"B+42 2115 ","          ","          ",1.78,M0III SB,G
32246," ",06 43 55.93,+25 07 52.2,3.06,1,H,100.98304088,25.13115531," ",3.61,-5.93,-12.81,0.97,0.45,0.91,1.25,0.66,0.19,0.32,0.01,0.33,-0.11,0.02,0.23,-0.44,0.06,0.63,0,0.48,4.852,0.003,3.17,0.002," ",1.377,0.015,G,1.22,0.01,G," ",3.1915,0.0011,0.007,82," ",3.18,3.2,,M," "," ",06440+2508,I,1,1," "," "," ","  ",,,,,,S," "," ",48329,"B+25 1406 ","          ","          ",1.22,A3mA6-A9,G
94376," ",19 12 33.15,+67 39 40.7,3.07,,G,288.13814581,67.66131695," ",32.54,94.49,92.3,0.47,0.41,0.46,0.47,0.45,-0.12,-0.2,0.06,-0.18,0.2,0.05,0.18,-0.04,0.06,0.06,3,2.22,4.362,0.002,3.188,0.002," ",0.99,0.018,G,0.94,0.03,C," ",3.2296,5.0E-4,0.004,110," ",3.22,3.24,," "," "," ",19126+6740,I,1,1," "," "," ","  ",,,,,,S," "," ",180711,"B+67 1129 ","          ","          ",0.94,G9III,X
89642," ",18 17 37.73,-36 45 40.6,3.1,1,H,274.4072049,-36.76128103," ",21.87,-129.27,-166.61,0.82,0.58,0.92,1.05,0.6,0.11,-0.19,0.0,-0.03,-0.16,-0.32,-0.22,-0.4,-0.07,-0.2,3,1.36,5.147,0.004,3.312,0.004," ",1.582,0.004,G,2.24,0.02,A," ",3.1512,0.0026,0.013,55," ",3.12,3.17,,U,2," ",18176-3646,I,1,1," "," ",S,"  ",,,,,,S," "," ",167618,"          ",C-36 12423,P-36  8128,2.24,M2III,3
43813," ",08 55 23.68,+05 56 43.9,3.11,,G,133.84868687,5.9455277," ",21.64,-99.76,14.65,0.77,0.55,0.99,1.12,0.62,-0.13,0.28,-0.44,0.09,0.43,-0.45,0.22,0.19,-0.11,0.05,0,-1.32,4.403,0.004,3.232,0.003," ",0.978,0.049,G,0.96,0.02,A," ",3.2803,5.0E-4,0.003,60," ",3.27,3.29,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",76294,"B+06 2060 ","          ","          ",0.96,G8III-IV,X
52943," ",10 49 37.43,-16 11 38.9,3.11,,G,162.40596699,-16.19413208," ",23.54,92.77,199.02,0.65,0.54,0.81,0.6,0.61,-0.2,0.1,-0.34,0.05,0.14,0.01,0.22,-0.49,0.33,-0.12,0,1.35,4.739,0.003,3.253,0.002," ",1.232,0.039,G,1.22,0.02,A," ",3.2707,5.0E-4,0.004,78," ",3.26,3.28,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",93813,"B-15 3138 ","          ","          ",1.22,K0/K1III,4
56561," ",11 35 46.93,-63 01 11.4,3.11,1,G,173.94553448,-63.01982488," ",7.96,-33.84,-6.87,0.39,0.44,0.52,0.53,0.54,0.17,-0.04,0.17,0.24,0.05,0.16,0.02,0.09,0.01,0.15,0,0.4,3.071,0.002,3.113,0.002," ",-0.044,0.015,G,-0.01,0.02,A," ",3.1068,5.0E-4,0.005,107," ",3.1,3.11,,M," "," ",11358-6301,I,1,1," "," "," ","  ",,,,,,S," "," ",100841,"          ","          ",P-62  2127,-0.01,B9II:,X
101772," ",20 37 33.99,-47 17 30.0,3.11,1,G,309.39162365,-47.29166239," ",32.21,49.2,66.07,0.65,0.49,0.75,0.9,0.56,0.02,-0.19,-0.2,0.05,-0.09,-0.04,-0.08,-0.12,-0.08,-0.12,2,-0.68,4.39,0.002,3.221,0.002," ",0.998,0.004,G,0.98,0.02,A," ",3.2707,6.0E-4,0.005,74," ",3.26,3.29,,M," "," ",20376-4717,I,1,1," "," "," ","  ",,,,,,S," "," ",196171,"          ",C-47 13477,P-47  9537,0.98,K0III,X
44127," ",08 59 12.84,+48 02 32.5,3.12,,H,134.80349479,48.04234956," ",68.32,-441.12,-215.21,0.67,0.49,0.79,0.84,0.48,-0.17,0.07,-0.26,-0.05,0.17,-0.18,0.15,-0.27,0.09,0.05,2,1.32,3.393,0.002,3.159,0.002," ",0.223,0.003,T,0.25,0.0,L," ",3.188,6.0E-4,0.005,91," ",3.18,3.2,," "," "," ",08592+4803,I,1,1," "," "," ","  ",,,,,,S," "," ",76644,"B+48 1707 ","          ","          ",0.22,A7IV,X
27628," ",05 50 57.55,-35 46 09.5,3.12,,G,87.7398034,-35.76929225," ",37.94,55.74,404.68,0.45,0.44,0.57,0.5,0.47,-0.02,0.2,-0.14,0.03,-0.15,0.28,-0.13,-0.12,0.0,-0.19,0,0.52,4.627,0.003,3.242,0.002," ",1.146,0.052,G,1.1,0.02,A," ",3.2833,4.0E-4,0.004,116," ",3.28,3.29,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",39425,"          ",C-35  2546,P-35   752,1.1,K1.5III,3
