HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType
114131,H,23 06 52.77,-43 31 13.2,4.28,,G,346.71986858,-43.52032436,A,24.51,-48.35,-13.98,0.7,0.65,0.75,0.69,0.67,0.29,-0.03,-0.28,0.04,-0.19,0.21,-0.14,-0.21,0.15,0.38,1,-0.24,4.843,0.004,4.374,0.004,A,0.423,0.009,G,0.44,0.02,A,*,4.3881,6.0E-4,0.005,103,*,4.38,4.4,,D," "," ",23068-4331,I,2,2,C," ",A,AB,100,1.358,0.011,2.33,0.02,S," "," ",218227,"          ",C-44 15149,P-44 10297,0.44,F5me...,X
105515," ",21 22 14.78,-16 50 04.4,4.28,1,G,320.56157261,-16.83455521," ",15.13,30.83,5.26,0.76,0.45,0.8,0.94,0.53,0.22,-0.02,-0.12,-0.27,-0.07,0.1,-0.12,0.04,0.02,0.41,2,-0.64,5.424,0.004,4.392,0.003," ",0.888,0.031,G,0.89,0.02,A," ",4.4388,9.0E-4,0.01,71," ",4.43,4.46,,U,2," ","          "," ",,1," "," "," ","  ",,,,,,S," ",P,203387,"B-17 6245 ","          ","          ",0.89,G8III,4
77055," ",15 44 03.46,+77 47 40.2,4.29,,H,236.01443312,77.79449901," ",8.68,20.07,-2.5,0.42,0.43,0.47,0.4,0.48,0.03,-0.28,-0.11,-0.04,0.0,-0.01,0.03,0.18,-0.07,-0.03,1,1.21,4.342,0.002,4.288,0.002," ",0.038,0.005,G,0.05,0.03,C," ",4.3064,3.0E-4,0.004,120," ",4.3,4.32,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",142105,"B+78  527 ","          ","          ",0.05,A3Vn,X
116631," ",23 38 08.18,+43 16 05.1,4.29,,H,354.53407969,43.2680761," ",6.49,27.72,-1.21,0.39,0.46,0.65,0.45,0.47,0.13,0.04,0.16,0.23,0.05,-0.06,0.06,0.16,0.05,0.14,1,0.88,4.176,0.002,4.273,0.002," ",-0.083,0.002,T,-0.06,0.0,L," ",4.264,3.0E-4,0.004,133," ",4.26,4.27,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",222173,"B+42 4720 ","          ","          ",-0.07,B8V,X
109139," ",22 06 26.21,-13 52 10.3,4.29,,H,331.60918894,-13.86954013," ",18.9,40.45,-57.16,0.81,0.49,0.95,0.9,0.5,0.23,-0.19,0.02,-0.08,0.14,0.31,0.06,0.02,0.32,0.3,0,0.85,4.201,0.003,4.274,0.003," ",-0.075,0.003,G,-0.06,0.02,A," ",4.2648,7.0E-4,0.004,61," ",4.26,4.27,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",209819,"B-14 6209 ","          ","          ",-0.06,B8V,4
24845," ",05 19 34.53,-13 10 36.4,4.29,,G,79.89385817,-13.17677698," ",3.03,-2.49,-4.74,0.61,0.48,0.77,0.62,0.57,-0.19,0.32,-0.11,0.4,-0.28,-0.12,-0.35,0.33,-0.14,-0.21,0,1.22,3.975,0.003,4.246,0.003," ",-0.235,0.004,T,-0.26,0.02,A," ",4.2021,7.0E-4,0.005,80," ",4.2,4.22,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",34816,"B-13 1127 ","          ","          ",-0.26,B0.5IV,4
16852," ",03 36 52.52,+00 24 10.2,4.29,,G,54.21882896,0.40283316," ",72.89,-232.69,-482.0,0.62,0.51,0.78,0.74,0.8,0.28,0.32,-0.25,-0.01,-0.26,0.09,-0.18,-0.31,0.15,0.53,4,0.08,4.985,0.003,4.359,0.002," ",0.575,0.008,G,0.66,0.02,A," ",4.4104,4.0E-4,0.004,81," ",4.41,4.42,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",22484,"B-00  572 ","          ","          ",0.66,F9V,X
57936,H,11 52 54.56,-33 54 29.3,4.29,1,G,178.22733867,-33.90813014,A,8.93,-58.02,2.4,0.82,0.71,0.88,0.81,0.67,0.06,-0.16,-0.17,0.11,-0.11,0.12,-0.14,-0.09,0.03,-0.2,1,1.54,4.169,0.006,4.267,0.006,*,-0.1,0.003,G,-0.07,0.02,A,*,4.2517,0.0037,0.016,78,*,4.23,4.27,2.36,P,1,A,11529-3354,I,1,2,C," ",A,AB,28,0.697,0.002,0.9,0.01,S," ",P,103192,"          ",C-33  8018,P-33  3159,-0.07,Ap Si,G
80894," ",16 31 08.39,-16 36 45.5,4.29,,H,247.78497886,-16.61264015," ",15.53,-44.57,-38.04,0.73,0.45,0.77,0.76,0.54,-0.12,-0.45,0.14,0.19,0.12,0.14,0.12,0.4,-0.08,0.02,0,-1.24,5.47,0.003,4.39,0.002," ",0.924,0.006,G,0.89,0.02,A," ",4.4439,4.0E-4,0.004,84," ",4.44,4.45,,C," "," ",16311-1636,I,1,1," "," "," ","  ",,,,,,S," "," ",148786,"B-16 4298 ","          ","          ",0.89,G8/K0III,4
52154," ",10 39 18.41,-55 36 11.8,4.29,,H,159.82671887,-55.60327905," ",3.62,-18.87,4.31,0.42,0.4,0.53,0.5,0.42,0.19,0.11,0.31,-0.15,-0.13,-0.18,-0.07,-0.11,-0.01,0.16,0,0.21,5.592,0.003,4.395,0.002," ",1.025,0.003,T,0.96,0.02,A," ",4.4504,4.0E-4,0.005,132," ",4.44,4.46,,C," "," ",10394-5536,I,1,1," "," "," ","  ",,,,,,S," "," ",92449,"          ","          ",P-54  3915,0.96,G2II,X
111188," ",22 31 30.29,-32 20 45.7,4.29,,H,337.87620651,-32.34602798," ",21.99,59.64,-18.7,0.62,0.48,0.78,0.64,0.46,0.37,-0.01,0.0,-0.01,-0.12,0.22,-0.12,-0.14,0.18,0.37,0,1.2,4.315,0.002,4.291,0.002," ",0.011,0.002,G,0.03,0.02,A," ",4.3003,4.0E-4,0.004,108," ",4.29,4.32,," "," "," ",22315-3221,I,1,1," "," "," ","  ",,,,,,S," "," ",213398,"          ",C-32 17126,P-32  6506,0.03,A1V,3
11484," ",02 28 09.52,+08 27 36.3,4.3,,H,37.03965786,8.4600887," ",18.53,41.72,-14.46,1.63,1.15,1.75,2.05,1.4,0.19,0.14,-0.13,0.22,-0.01,-0.09,-0.07,-0.22,0.09,0.06,3,,4.232,0.003,4.273,0.003," ",-0.053,0.003,G,-0.06,0.02,A," ",4.2725,6.0E-4,0.004,69," ",4.27,4.28,," "," "," ","          "," ",,1,X," "," ","  ",,,,,,S," "," ",15318,"B+07  388 ","          ","          ",-0.06,B9III,X
17531," ",03 45 12.48,+24 28 02.6,4.3,,H,56.30200876,24.46737879," ",8.75,19.35,-41.63,0.99,0.6,1.08,0.95,0.76,0.2,0.49,-0.2,0.36,0.3,-0.18,0.12,0.51,-0.22,0.39,0,-0.12,4.173,0.003,4.281,0.003," ",-0.11,0.006,G,-0.08,0.03,C," ",4.2724,6.0E-4,0.004,64," ",4.27,4.28,," "," "," ",03452+2429,I,1,1," "," "," ","  ",,,,,,S," "," ",23338,"B+24  547 ","          ","          ",-0.08,B6V,X
28404," ",05 59 56.10,+45 56 12.3,4.3,2,H,89.98375587,45.93675346," ",3.88,-2.42,-7.32,0.75,0.41,0.85,0.95,0.46,0.17,0.23,-0.07,0.24,0.18,0.09,0.21,-0.16,0.37,0.17,0,0.06,6.487,0.006,4.525,0.005," ",1.701,0.014,G,2.51,0.03,C," ",4.3115,0.0034,0.045,98," ",4.25,4.36,,U,2," ","          "," ",,1," "," ",S,"  ",,,,,,S," "," ",40239,"B+45 1217 ","          ","          ",2.51,M3IIvar,X
42799," ",08 43 13.49,+03 23 55.2,4.3,,G,130.80619315,3.39866539," ",6.99,-19.14,-1.29,0.74,0.49,0.92,1.04,0.63,0.01,0.16,-0.29,0.32,0.27,-0.31,0.17,0.51,-0.15,0.13,2,-1.39,4.052,0.003,4.256,0.003," ",-0.192,0.006,G,-0.2,0.02,A," ",4.2274,5.0E-4,0.005,84," ",4.22,4.24,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",74280,"B+03 2039 ","          ","          ",-0.2,B3V...,X
20648,H,04 25 29.32,+17 55 40.8,4.3,,G,66.37215593,17.92798917,A,22.05,108.26,-32.47,0.75,0.52,0.77,0.97,0.83,0.34,0.1,0.08,-0.02,0.05,0.25,-0.1,0.34,0.2,0.54,2,-0.74,4.382,0.003,4.317,0.003,A,0.049,0.007,G,0.08,0.03,C,*,4.3212,6.0E-4,0.004,72,*,4.32,4.33,,D," "," ",04255+1755,I,1,2,C," ",B,AB,338,1.75,0.017,4.02,0.09,S," "," ",27962,"B+17  719 ","          ","          ",0.08,A2IV,X
61174," ",12 32 04.48,-16 11 45.1,4.3,,G,188.01868646,-16.19586556," ",54.92,-424.37,-58.41,0.56,0.46,0.66,0.61,0.46,-0.29,-0.03,-0.13,0.13,0.07,0.02,0.07,-0.02,-0.02,-0.3,0,0.85,4.759,0.002,4.352,0.002," ",0.388,0.014,G,0.44,0.02,A," ",4.3853,5.0E-4,0.005,101," ",4.38,4.39,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",109085,"B-15 3489 ","          ","          ",0.44,F2V,4
56647," ",11 36 56.93,-00 49 25.9,4.3,,H,174.23720774,-0.82385424," ",18.31,1.3,43.43,0.88,0.57,0.89,1.18,0.62,0.02,-0.19,-0.27,0.34,0.13,-0.33,0.11,0.24,-0.18,0.3,4,2.25,5.56,0.005,4.413,0.002," ",0.983,0.036,G,0.98,0.02,A," ",4.4672,6.0E-4,0.004,51," ",4.46,4.47,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",100920,"B-00 2458 ","          ","          ",0.98,G9III,X
53417,H,10 55 36.85,+24 44 59.1,4.3,,H,163.90353339,24.74975451,A,11.29,-78.41,-14.89,0.72,0.57,0.78,0.8,0.58,-0.4,-0.05,-0.15,-0.11,-0.04,0.12,-0.02,-0.21,0.24,-0.29,7,0.36,4.306,0.004,4.283,0.003,*,0.016,0.0,G,0.07,0.03,C,*,4.3235,6.0E-4,0.005,88,*,4.32,4.34,,D," "," ",10556+2445,I,1,2,C," ",A,AB,111,6.575,0.005,1.95,0.02,S," "," ",94601,"B+25 2314 ","          ","          ",0.07,A1,S
17797,H,03 48 35.82,-37 37 12.5,4.3,1,G,57.14926223,-37.62012878,A,20.23,75.83,-10.69,0.76,0.8,0.83,0.76,0.84,0.0,-0.05,-0.05,-0.11,-0.2,0.17,-0.21,0.06,0.0,0.03,19,2.51,4.238,0.002,4.243,0.002,*,-0.038,0.009,G,-0.02,0.01,H,*,4.2697,6.0E-4,0.01,121,*,4.26,4.31,,U,2," ",03486-3737,I,1,2,C," ",A,AB,215,8.137,0.003,0.6,0.01,S," "," ",24071,"          ",C-38  1297,P-38   340,-0.02,A+...,S
4577," ",00 58 36.35,-29 21 26.9,4.3,,H,14.65144118,-29.35746436," ",4.85,22.44,6.3,0.65,0.57,0.84,1.04,0.65,0.21,-0.07,-0.36,0.19,0.12,0.02,0.13,0.26,-0.3,0.21,0,-1.57,4.123,0.003,4.283,0.003," ",-0.154,0.007,G,-0.12,0.02,A," ",4.2628,5.0E-4,0.005,82," ",4.26,4.27,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",5737,"          ",C-30   297,P-30    99,-0.12,B7IIIp,3
57669," ",11 49 41.09,-63 47 18.6,4.3,1,H,177.42120019,-63.78848906," ",7.1,-17.93,4.44,0.49,0.5,0.69,0.95,0.63,0.06,-0.32,0.36,0.29,0.26,0.34,0.18,0.22,0.3,0.56,0,2.3,4.135,0.003,4.298,0.003," ",-0.149,0.012,G,-0.09,0.02,A," ",4.2717,0.001,0.012,132," ",4.24,4.29,,U,2,C,"          "," ",,1,G," "," ","  ",,,,,,S," "," ",102776,"          ",C-63   674,P-63  1988,-0.09,B3V,X
70069," ",14 20 19.55,-56 23 11.3,4.3,,H,215.08146975,-56.38647906," ",2.75,-9.29,-7.57,0.42,0.43,0.59,0.45,0.47,0.0,-0.27,0.05,0.24,0.04,0.03,-0.03,0.42,0.18,0.14,1,0.56,4.439,0.002,4.356,0.002," ",0.082,0.003,T,0.21,0.02,A," ",4.3627,5.0E-4,0.005,128," ",4.35,4.37,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",125288,"          ","          ",P-55  5984,0.21,B6Ib,X
100027,H,20 17 38.86,-12 30 29.6,4.3,,G,304.41190045,-12.50821403,A,4.75,22.24,0.75,0.85,0.55,0.96,0.96,0.76,0.31,-0.24,-0.16,-0.13,-0.03,0.23,0.11,0.3,-0.34,0.12,2,-0.72,5.588,0.002,4.36,0.002,*,0.928,0.015,G,1.05,0.02,A,*,4.4114,4.0E-4,0.004,124,*,4.4,4.42,,C," "," ",20176-1231,I,1,2,C," ",B,AE,355,0.649,0.013,4.17,0.09,S," "," ",192876,"B-12 5683 ","          ","          ",1.05,G3Ib,4
75411," ",15 24 29.54,+37 22 37.1,4.31,,G,231.12306762,37.37696091," ",26.96,-147.68,84.69,0.49,0.56,0.65,0.88,1.11,0.02,-0.16,-0.3,-0.07,0.06,0.1,0.18,-0.28,0.0,0.33,2,-0.82,4.68,0.002,4.338,0.002," ",0.309,0.008,G,0.35,0.03,C," ",4.3826,5.0E-4,0.005,120," ",4.37,4.39,,D," "," ",15245+3722,I,2,1,G," "," ","  ",,,,,,S," "," ",137391,"B+37 2636 ","          ","          ",0.35,F0V,X
101847," ",20 38 20.27,-01 06 18.3,4.31,1,H,309.58447294,-1.10507951," ",8.5,15.66,-17.01,0.8,0.57,1.0,1.27,0.8,-0.06,0.02,-0.39,0.44,-0.35,0.39,-0.23,0.54,-0.28,-0.15,4,2.67,5.501,0.003,4.412,0.003," ",0.949,0.01,G,0.91,0.02,A," ",4.4737,9.0E-4,0.006,79," ",4.47,4.49,,M," "," ",20383-0106,I,1,1," "," "," ","  ",,,,,,S," "," ",196574,"B-01 4016 ","          ","          ",0.91,G8III SB,G
42568," ",08 40 37.04,-59 45 39.7,4.31,1,H,130.15431317,-59.76101468," ",2.31,-6.87,4.92,0.44,0.39,0.46,0.49,0.43,0.05,-0.07,0.04,0.04,-0.04,-0.02,-0.04,0.05,-0.03,-0.06,1,1.83,4.163,0.002,4.305,0.002," ",-0.117,0.005,G,-0.08,0.02,A," ",4.2809,5.0E-4,0.006,130," ",4.27,4.29,,M," "," ",08406-5946,I,1,1," "," "," ","  ",,,,,,S," ",P,74375,"          ","          ",P-59  1080,-0.08,B1.5III,X
70638," ",14 26 55.74,-83 40 04.3,4.31,,H,216.73225313,-83.66785308," ",11.7,-95.79,-12.91,0.39,0.42,0.49,0.37,0.45,0.08,-0.22,0.02,-0.11,-0.07,-0.12,-0.08,0.02,0.02,0.11,1,-0.58,6.017,0.003,4.457,0.002," ",1.3,0.3,G,1.3,0.02,A," ",4.4667,6.0E-4,0.006,156," ",4.46,4.48,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",124882,"          ",C-83   189,P-83   557,1.3,K2III,1
78990," ",16 07 24.30,-20 52 07.2,4.31,,G,241.85125058,-20.8686541," ",12.32,43.68,-45.3,0.77,0.56,0.89,0.81,0.65,-0.13,-0.44,-0.19,0.12,-0.11,0.25,0.04,0.28,-0.22,-0.28,0,-1.0,5.372,0.003,4.414,0.003," ",0.831,0.027,G,0.85,0.02,A," ",4.4647,7.0E-4,0.004,49," ",4.46,4.47,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",144608,"B-20 4408 ","          ",P-20  6290,0.85,G6/G8III,4
16826," ",03 36 29.36,+48 11 33.7,4.32,2,T,54.12233383,48.19270068," ",4.66,21.41,-27.58,0.55,0.48,0.73,0.52,0.57,0.11,0.31,-0.15,-0.11,0.02,0.18,0.01,-0.02,-0.13,0.2,0,-1.2,4.239,0.006,4.304,0.005," ",-0.058,0.02,G,0.07,0.03,C," ",4.2925,0.0058,0.033,77," ",4.24,4.35,,U,2,C,"          "," ",,1," "," "," ","  ",,,,,,S," ",P,22192,"B+47  857 ","          ","          ",0.07,B5Ve,X
46750," ",09 31 43.24,+22 58 05.0,4.32,1,G,142.93016816,22.96806545," ",9.69,-19.38,-39.04,0.74,0.48,0.89,0.92,0.49,-0.21,0.17,-0.28,-0.02,0.36,-0.48,0.26,0.05,0.08,-0.15,0,0.53,6.332,0.005,4.483,0.003," ",1.541,0.005,G,1.63,0.03,C," ",4.4252,8.0E-4,0.006,68," ",4.42,4.44,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",82308,"B+23 2107 ","          ","          ",1.63,K5IIIvar,X
21763," ",04 40 26.49,-19 40 16.5,4.32,2,H,70.11039135,-19.67125686," ",9.03,28.21,-97.09,0.53,0.45,0.69,0.61,0.57,-0.22,0.18,-0.14,0.36,-0.24,-0.01,-0.28,0.14,-0.02,-0.31,0,1.07,6.395,0.005,4.527,0.003," ",1.599,0.021,G,2.27,0.02,A," ",4.3758,0.0023,0.021,105," ",4.35,4.41,,U,2," ",04404-1940,I,1,1," "," ",S,"  ",,,,,,S," ",P,29755,"B-19  988 ","          ","          ",2.27,M3/M4III,4
25945," ",05 32 12.75,+18 35 39.3,4.32,2,H,83.0531302,18.59424525," ",1.7,-0.34,-4.51,0.74,0.44,0.8,1.14,0.46,0.07,0.19,-0.06,0.11,0.22,0.12,0.15,0.52,-0.16,-0.01,0,2.44,7.024,0.016,4.593,0.011," ",2.06,0.027,G,2.54,0.03,G," ",4.3349,0.0184,0.083,77," ",4.29,4.51,,U,2,B,"          "," ",,1," "," ",S,"  ",,,,,,S," "," ",36389,"B+18  875 ","          ","          ",2.54,M2Ib,X
29696," ",06 15 22.74,+29 29 55.4,4.32,,H,93.84473576,29.49871224," ",19.31,-70.9,-261.73,0.82,0.48,0.83,0.93,0.56,-0.23,0.41,-0.05,0.22,0.05,-0.12,0.06,-0.15,0.05,-0.24,0,1.11,5.633,0.004,4.439,0.002," ",1.021,0.001,G,1.04,0.0,G," ",4.4867,8.0E-4,0.005,77," ",4.48,4.49,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",43039,"B+29 1154 ","          ","          ",1.04,G8IIIvar,X
64241," ",13 09 59.55,+17 31 44.8,4.32,,G,197.49812263,17.52911621," ",69.81,-445.95,129.69,22.89,19.02,27.58,25.45,15.69,-0.28,0.19,-0.48,-0.06,-0.09,0.27,-0.01,-0.29,-0.09,-0.46,0,,,,,," ",0.455,0.008,G,0.53,0.01,L," ",4.4292,8.0E-4,0.006,52," ",4.42,4.45,,D," "," ",13100+1732,I,1,1,X," ",S,"  ",,,,,,S," "," ",114378,"B+18 2697 ","          ","          ",0.53,F5V,X
84880," ",17 20 49.64,-12 50 48.8,4.32,,G,260.2068148,-12.846882," ",16.86,42.75,2.72,0.85,0.57,0.86,0.91,0.64,-0.04,-0.49,-0.16,0.43,-0.24,0.12,-0.13,0.7,-0.08,-0.24,0,-0.06,4.392,0.002,4.341,0.002," ",0.037,0.007,G,0.07,0.02,A," ",4.3496,5.0E-4,0.004,60," ",4.34,4.36,," "," "," ",17208-1251,I,1,1," "," "," ","  ",,,,,,S," "," ",156928,"B-12 4722 ","          ","          ",0.07,A0/A1V,4
43067," ",08 46 22.53,-13 32 51.7,4.32,,G,131.5938644,-13.54770494," ",14.38,17.57,-6.22,1.21,0.9,1.51,1.47,0.91,-0.11,0.09,-0.18,-0.23,-0.11,-0.03,-0.07,-0.11,0.08,-0.21,0,,5.454,0.003,4.418,0.002," ",0.9,0.015,G,0.91,0.02,A," ",4.466,5.0E-4,0.004,92," ",4.46,4.47,,C," "," ",08464-1333,I,1,1,X," ",S,"  ",,,,,,S," "," ",74918,"B-13 2673 ","          ","          ",0.91,G8III,4
58758," ",12 03 01.70,-63 18 46.6,4.32,,G,180.75707974,-63.31294495," ",14.19,-152.53,6.1,0.4,0.42,0.54,0.49,0.45,0.11,-0.12,0.21,0.27,0.02,0.12,-0.01,-0.02,0.11,0.15,1,-0.91,4.642,0.002,4.354,0.002," ",0.28,0.018,G,0.36,0.02,A," ",4.3862,5.0E-4,0.004,129," ",4.38,4.39,," "," "," ",12030-6319,I,1,1," "," "," ","  ",,,,,,S," "," ",104671,"          ","          ",P-62  2543,0.36,Am,X
72683,H,14 51 38.32,-43 34 31.1,4.32,1,G,222.9096805,-43.57529383,*,8.0,-24.79,-26.8,0.68,0.54,0.78,0.93,0.7,-0.01,0.04,-0.07,-0.15,-0.1,-0.32,-0.19,0.16,-0.18,0.26,0,0.16,4.138,0.002,4.299,0.003,*,-0.154,0.033,G,-0.14,0.02,A,*,4.2816,0.001,0.01,55,*,4.26,4.3,,U,2," ",14516-4335,I,1,2,C,S,A,AS,275,0.135,0.007,0.43,0.32,S," "," ",130807,"          ",C-43  9391,P-43  6747,-0.14,B5IV,X
67669,H,13 51 49.63,-32 59 38.5,4.32,1,H,207.95677175,-32.99401625,A,10.96,-35.74,-30.14,0.78,0.67,0.88,0.81,0.73,-0.29,-0.27,0.04,0.07,-0.05,-0.12,-0.12,-0.04,0.28,-0.28,16,0.76,4.131,0.005,4.266,0.006,*,-0.146,0.003,G,-0.12,0.02,A,*,4.2763,8.0E-4,0.009,94,*,4.27,4.32,,U,2,C,13518-3300,I,1,2,C," ",A,AB,106,7.851,0.004,1.54,0.02,S," "," ",120709,"          ",C-32  9676,"          ",-0.12,B5,S
36284," ",07 28 09.83,+08 55 31.8,4.33,1,H,112.04095607,8.92550376," ",8.2,-59.29,10.76,0.87,0.51,0.93,0.87,0.49,0.01,0.35,-0.28,-0.39,-0.25,-0.19,-0.23,-0.38,0.13,0.13,0,1.25,6.182,0.005,4.492,0.003," ",1.425,0.009,G,1.48,0.02,A," ",4.4592,0.0014,0.011,81," ",4.44,4.47,,U,2," ",07281+0856,I,1,1," "," "," ","  ",,,,,,S," "," ",58972,"B+09 1660 ","          ","          ",1.48,K3III SB,G
84405,H,17 15 21.29,-26 36 00.2,4.33,,G,258.83869698,-26.60004896,B,167.08,-473.69,-1143.93,1.22,0.7,1.07,1.04,0.62,-0.02,-0.36,-0.12,0.14,0.05,0.0,0.14,-0.02,-0.12,-0.01,9,1.39,6.109,0.019,5.11,0.008,A,0.855,0.01,G,0.92,0.02,A,*,4.4649,9.0E-4,0.008,75,*,4.46,4.48,,D," "," ",17155-2635,I,3,2,C," ",A,BA,330,4.736,0.002,0.01,0.01,S," ",D,155885,"          ",C-26 12026,P-26  5858,0.92,K2:III:,3
89826," ",18 19 51.72,+36 03 52.0,4.33,,H,274.96550503,36.06444696," ",13.71,-16.14,41.32,0.44,0.46,0.56,0.5,0.52,0.06,-0.18,0.07,0.23,0.07,-0.2,0.07,0.11,0.07,0.12,0,-0.2,5.844,0.003,4.449,0.002," ",1.162,0.013,G,1.1,0.03,C," ",4.4951,6.0E-4,0.005,108," ",4.49,4.5,,C," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",168775,"B+36 3094 ","          ","          ",1.1,K2IIIvar,X
62867," ",12 53 06.98,-48 56 35.7,4.33,,G,193.27906907,-48.94325313," ",10.77,-79.18,-25.34,0.45,0.46,0.64,0.49,0.47,-0.05,-0.24,-0.09,0.1,0.01,0.03,0.01,-0.44,0.19,0.04,2,0.08,6.115,0.003,4.48,0.002," ",1.344,0.068,G,1.33,0.02,A," ",4.4793,7.0E-4,0.006,131," ",4.47,4.49,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",111915,"          ",C-48  7753,P-48  5119,1.33,K3/K4III,2
70576,H,14 26 10.80,-45 22 45.3,4.33,,H,216.54500648,-45.37926095,*,10.38,13.55,-6.35,0.61,0.44,0.72,0.66,0.62,0.01,-0.34,-0.15,0.15,-0.02,-0.07,-0.09,0.07,0.18,-0.13,0,-2.1,4.857,0.003,4.398,0.002,*,0.434,0.018,G,0.58,0.02,A,*,4.4387,5.0E-4,0.005,107,*,4.43,4.45,,D," "," ",14262-4523,I,1,2,C,S,A,AB,187,0.128,0.003,0.62,0.17,S," "," ",126354,"          ",C-44  9323,P-44  6771,0.58,A7:+...,X
88866," ",18 08 34.79,-63 40 05.0,4.33,,H,272.14496186,-63.66804844," ",23.55,17.45,-207.64,0.52,0.45,0.71,0.57,0.45,0.09,-0.29,-0.18,-0.18,-0.07,0.1,-0.07,-0.19,0.07,0.03,0,-0.28,4.629,0.003,4.357,0.003," ",0.228,0.003,G,0.23,0.01,A," ",4.3993,5.0E-4,0.005,107," ",4.39,4.41,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",165040,"          ","          ",P-63  4292,0.23,Am,X
2912," ",00 36 52.84,+33 43 09.7,4.34,,H,9.22016239,33.71935227,+,4.97,15.23,-3.56,1.09,0.6,0.82,0.86,0.5,-0.15,0.15,0.16,0.06,-0.04,0.22,0.05,-0.16,0.1,0.18,2,0.96,4.191,0.003,4.323,0.003," ",-0.123,0.003,G,-0.08,0.03,G," ",4.3098,7.0E-4,0.006,71," ",4.3,4.32,," "," "," ",00369+3343,I,1,1,O," "," ","  ",,,,,,S," "," ",3369,"B+32  101 ","          ","          ",-0.08,B5V,X
5542," ",01 11 05.93,+55 08 59.8,4.34,,G,17.77471116,55.14994765," ",23.73,226.62,-19.34,0.32,0.4,0.68,0.47,0.43,-0.09,0.08,-0.32,0.03,-0.14,0.06,-0.09,-0.47,0.41,-0.23,0,-1.75,4.552,0.002,4.355,0.001," ",0.17,0.001,G,0.19,0.03,C," ",4.3873,3.0E-4,0.004,259," ",4.38,4.39,,C," "," ",01112+5508,I,1,1," "," "," ","  ",,,,,,S," "," ",6961,"B+54  236 ","          ","          ",0.19,A7Vvar,X
107348," ",21 44 30.69,+17 21 00.2,4.34,,H,326.12787716,17.35004352," ",3.62,7.9,-10.75,0.62,0.52,0.74,0.79,0.67,0.3,-0.2,-0.21,-0.24,0.25,0.04,0.24,0.0,0.07,0.29,0,-0.76,5.815,0.002,4.465,0.002," ",1.161,0.005,G,1.05,0.03,C," ",4.5102,6.0E-4,0.006,126," ",4.5,4.52,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",206859,"B+16 4582 ","          ","          ",1.05,G5Ib,X
111022," ",22 29 31.82,+47 42 24.8,4.34,2,H,337.38259473,47.70689488," ",2.8,-0.6,-3.37,0.33,0.35,0.5,0.33,0.36,-0.18,0.06,0.08,0.01,0.05,-0.02,0.08,-0.13,0.14,-0.08,0,1.44,6.449,0.005,4.541,0.004," ",1.679,0.005,G,1.9,0.03,G," ",4.428,0.0045,0.04,140," ",4.39,4.56,,U,2," ","          "," ",,1," "," ",S,"  ",,,,,,S," "," ",213310,"B+46 3719 ","          ","          ",1.9,M0II,X
